,Municipio,Mes,Cantidad servicios,Poblacion Usuaria,Valor autorizado (RD$),Gasto per capita
1699,fundación,Enero 2019,182,85,129545.0,1524.0588235294117
1727,galvan,Enero 2019,2264,667,500157.29,749.8610044977513
1755,gaspar hernández,Enero 2019,2150,594,523374.33,881.1015656565655
1839,guananico,Enero 2019,1142,409,329103.28,804.6534963325183
1895,guayabal,Enero 2019,125,32,45670.8,1427.2125
1951,guayacanes,Enero 2019,105,50,37150.0,743.0
1979,guaymate,Enero 2019,78,30,31986.0,1066.2
2035,guerra,Enero 2019,10549,3046,2844223.759999999,933.7569796454362
2119,hato mayor del rey,Enero 2019,1042,471,369604.8,784.7235668789807
2175,hondo valle,Enero 2019,251,72,56707.5,787.6041666666665
2203,hostos,Enero 2019,1150,417,230401.37,552.5212709832133
2231,imbert,Enero 2019,4956,1278,890101.06,696.4797026604068
2343,jamao al norte,Enero 2019,978,337,188311.53,558.7879228486647
2371,janico,Enero 2019,1999,645,379473.49,588.330992248062
2399,jaquimeyes,Enero 2019,160,72,82528.0,1146.2222222222224
