,region,time,Cantidad servicios,poblacion,valor,gastoPerCapita
63,REGION II,2018-12-01,115889,32220,67045710.75999997,2080.8724630664174
64,REGION II,2017-01-01,125360,41438,53418983.05,1289.130340508712
65,REGION II,2018-01-01,151023,46866,68349396.46000004,1458.400470703709
66,REGION II,2019-01-01,169481,46703,39639940.58,848.766472817592
67,REGION II,2017-02-01,130240,44260,54797373.43,1238.0789297333936
68,REGION II,2018-02-01,150095,47995,68958039.80999997,1436.7754934889044
69,REGION II,2019-02-01,172152,48037,77925170.95999992,1622.1906230613886
70,REGION II,2017-07-01,151412,48612,73090360.55,1503.5456379083353
71,REGION II,2018-07-01,154579,44319,82034326.22999988,1850.9967785825463
72,REGION II,2017-06-01,148414,50099,68473907.76999995,1366.7719469450478
73,REGION II,2018-06-01,160885,51678,78476419.04999994,1518.565328573086
74,REGION II,2017-03-01,154733,52291,68972780.82999994,1319.0182025587565
75,REGION II,2018-03-01,160269,51724,77907328.3,1506.2123636996366
76,REGION II,2019-03-01,191331,54491,81341229.71999998,1492.7461364261985
77,REGION II,2017-05-01,155106,51839,66466357.31999999,1282.1689716236808
78,REGION II,2018-05-01,177990,50648,82985540.06000005,1638.4761502922138
79,REGION II,2017-11-01,146281,47621,70192579.84,1473.9837433065243
80,REGION II,2018-11-01,169558,47268,80864568.94999993,1710.7677276381467
81,REGION II,2017-10-01,146859,47387,71683443.21000001,1512.7238105387555
82,REGION II,2018-10-01,175952,49157,86955506.78000003,1768.9343690623925
83,REGION II,2017-09-01,132849,43702,62760533.10999998,1436.1020802251608
84,REGION II,2018-09-01,118926,36137,66295696.73,1834.565590115394
85,REGION III,2017-04-01,99571,33962,40821218.45999999,1201.9674477357046
86,REGION III,2018-04-01,126438,41244,53168816.19000001,1289.1285081466397
87,REGION III,2019-04-01,117330,36589,47949301.54999997,1310.4840676159492
88,REGION III,2017-08-01,121703,39618,51079625.88499996,1289.3034955070916
89,REGION III,2018-08-01,122526,38619,54486726.33499994,1410.878747119292
90,REGION III,2017-12-01,83414,28397,37297763.81999999,1313.440286649998
